wavelength,flux,flux_error
6108.180734,91681.8125,305.032745
6108.223881,83202.242188,290.835724
6108.267029,78289.117188,282.193268
6108.310176,78674.5,283.047272
6108.353323,83443.148438,291.374908
6108.39647,91009.257812,303.973175
6108.439618,96901.195312,313.577332
6108.482765,99973.039062,318.388519
6108.525912,101146.179688,320.163086
6108.569059,101975.617188,321.37384
6108.612207,102717.679688,322.552368
6108.655354,102370.054688,322.12088
6108.698501,102156.101562,321.656769
6108.741648,102806.96875,322.753113
6108.784796,102092.09375,321.747894
6108.827943,102375.210938,322.045288
6108.87109,102560.507812,322.434448
6108.914237,102540.570312,322.327911
6108.957385,102291.0625,321.736115
6109.000532,101603.679688,320.756378
6109.043679,102406.976562,322.136139
6109.086826,102493.359375,322.191101
6109.129974,103044.398438,323.059875
6109.173121,102690.195312,322.57486
6109.216268,103620.0625,323.943329
6109.259415,102847.867188,322.803497
6109.302563,103033.359375,323.129791
6109.34571,102631.578125,322.406433
6109.388857,103157.789062,323.187683
6109.432005,103697.007812,324.110046
6109.475152,102885.460938,322.872009
6109.518299,103273.0,323.440186
6109.561446,103282.84375,323.417328
6109.604594,103441.367188,323.609955
6109.647741,103718.773438,324.153687
6109.690888,103598.4375,323.86853
6109.734035,104122.648438,324.661011
6109.777183,104386.804688,325.254456
6109.82033,104161.132812,324.812561
6109.863477,103765.765625,324.246674
6109.906624,104346.703125,325.171326
6109.949772,104017.632812,324.744598
6109.992919,103659.460938,323.99231
6110.036066,104302.125,325.05365
6110.079213,104085.5625,324.741119
6110.122361,104500.617188,325.255585
6110.165508,104315.539062,325.040619
6110.208655,104868.78125,325.791138
6110.251802,104535.320312,325.473358
6110.29495,103901.875,324.345276
6110.338097,104206.679688,324.873871
6110.381244,104393.34375,325.2117
6110.424391,104008.726562,324.679901
6110.467539,103688.59375,324.149475
6110.510686,103646.390625,324.019165
6110.553833,103891.484375,324.431671
6110.596981,104257.023438,325.094971
6110.640128,105134.5,326.330597
6110.683275,104831.75,325.831757
6110.726422,105064.398438,326.23233
6110.76957,105132.28125,326.349548
6110.812717,105841.789062,327.433868
6110.855864,105550.882812,327.015015
6110.899011,104384.625,325.221649
6110.942159,105754.734375,327.245697
6110.985306,105245.242188,326.512329
6111.028453,105185.25,326.360168
6111.0716,104061.96875,324.65979
6111.114748,101156.882812,320.169495
6111.157895,97763.484375,314.857788
6111.201042,93125.976562,307.398224
6111.244189,92433.640625,306.170776
6111.287337,94108.226562,308.988342
6111.330484,98145.828125,315.423676
6111.373631,101254.773438,320.410858
6111.416778,104305.257812,325.092926
6111.459926,105814.664062,327.303192
6111.503073,106491.882812,328.377319
6111.54622,105798.25,327.464569
6111.589367,106341.671875,328.168823
6111.632515,106058.953125,327.809326
6111.675662,106014.328125,327.657318
6111.718809,105093.976562,326.320251
6111.761957,103700.59375,324.240265
6111.805104,103581.039062,323.898407
6111.848251,104487.28125,325.228516
6111.891398,104504.421875,325.282318
6111.934546,104675.617188,325.645355
6111.977693,105982.03125,327.773987
6112.02084,106699.117188,328.749817
6112.063987,106850.304688,328.87027
6112.107135,106235.0625,328.026825
6112.150282,106420.476562,328.255981
6112.193429,106806.1875,328.878784
6112.236576,106626.632812,328.689941
6112.279724,106782.476562,328.84024
6112.322871,105982.601562,327.649506
6112.366018,106731.945312,328.834351
6112.409165,105637.492188,327.142731
6112.452313,105893.203125,327.340271
6112.49546,106995.820312,329.174011
6112.538607,106304.539062,328.105774
6112.581754,107126.640625,329.447418
6112.624902,107534.210938,330.043945
6112.668049,107464.234375,329.889557
6112.711196,107006.695312,329.121033
6112.754343,107320.867188,329.797882
6112.797491,107124.789062,329.373688
6112.840638,107092.320312,329.34375
6112.883785,107232.757812,329.558319
6112.926933,107278.1875,329.510895
6112.97008,106396.992188,328.169159
6113.013227,104809.070312,325.922302
6113.056374,103580.109375,324.020203
6113.099522,103225.460938,323.471436
6113.142669,103558.21875,323.919495
6113.185816,104121.625,324.778107
6113.228963,105083.867188,326.317566
6113.272111,104569.101562,325.470123
6113.315258,104856.789062,325.919067
6113.358405,104426.054688,325.274506
6113.401552,102087.132812,321.78479
6113.4447,100770.945312,319.63382
6113.487847,99293.898438,317.349792
6113.530994,100750.179688,319.714508
6113.574141,103624.90625,323.966644
6113.617289,105331.859375,326.720947
6113.660436,107356.515625,329.808441
6113.703583,107752.945312,330.367432
6113.74673,108537.125,331.500397
6113.789878,108517.210938,331.638977
6113.833025,108642.515625,331.699738
6113.876172,108122.976562,330.749542
6113.919319,108796.414062,332.115082
6113.962467,107930.15625,330.607391
6114.005614,108614.007812,331.694641
6114.048761,108307.046875,331.230713
6114.091909,109029.273438,332.337097
6114.135056,109142.710938,332.365204
6114.178203,109401.820312,332.760986
6114.22135,109172.484375,332.589447
6114.264498,109320.398438,332.797913
6114.307645,109489.070312,333.030731
6114.350792,109152.179688,332.506653
6114.393939,109672.203125,333.170898
6114.437087,109122.0,332.339722
6114.480234,109219.34375,332.62088
6114.523381,109270.570312,332.593597
6114.566528,108848.421875,332.053497
6114.609676,109212.867188,332.654022
6114.652823,109305.078125,332.70285
6114.69597,110047.726562,333.827454
6114.739117,110159.289062,334.023834
6114.782265,109681.578125,333.245667
6114.825412,110082.789062,333.868286
6114.868559,109614.4375,333.184448
6114.911706,108683.953125,331.832764
6114.954854,108904.617188,332.189362
6114.998001,109260.96875,332.526337
6115.041148,109232.460938,332.618134
6115.084295,109537.484375,333.055481
6115.127443,109274.820312,332.632141
6115.17059,110112.476562,334.026733
6115.213737,111000.46875,335.274109
6115.256884,110196.726562,334.117035
6115.300032,110040.710938,333.78183
6115.343179,109925.578125,333.681763
6115.386326,110226.171875,334.113586
6115.429474,110144.671875,333.851318
6115.472621,110327.632812,334.203217
6115.515768,110857.304688,335.132324
6115.558915,110302.851562,334.157166
6115.602063,110270.40625,334.133423
6115.64521,110051.8125,333.795868
6115.688357,109499.226562,333.138031
6115.731504,110738.320312,334.816101
6115.774652,110420.953125,334.434631
6115.817799,110545.679688,334.596039
6115.860946,109899.078125,333.530121
6115.904093,108747.078125,331.933136
6115.947241,109466.28125,333.066956
6115.990388,110152.390625,333.981384
6116.033535,109388.195312,332.796936
6116.076682,109452.21875,332.931366
6116.11983,108252.640625,331.215851
6116.162977,105063.539062,326.453156
6116.206124,102052.539062,321.682068
6116.249271,97744.585938,314.879242
6116.292419,91975.867188,305.682404
6116.335566,87390.710938,298.127686
6116.378713,86631.796875,296.829895
6116.42186,90296.875,302.950836
6116.465008,95862.382812,312.158386
6116.508155,102402.640625,322.329163
6116.551302,107270.320312,329.650452
6116.59445,108948.210938,332.282867
6116.637597,110691.851562,334.783478
6116.680744,110639.914062,334.854523
6116.723891,110702.984375,335.083405
6116.767039,110079.15625,333.890381
6116.810186,110617.59375,334.796631
6116.853333,111352.007812,335.696533
6116.89648,111292.695312,335.611572
6116.939628,111190.101562,335.642273
6116.982775,110876.875,335.140686
6117.025922,110717.765625,334.966614
6117.069069,110416.203125,334.289978
6117.112217,109996.59375,333.76413
6117.155364,109808.304688,333.572876
6117.198511,109653.914062,333.267944
6117.241658,110640.648438,334.729218
6117.284806,110058.929688,333.881348
6117.327953,110493.460938,334.430603
6117.3711,111103.703125,335.420746
6117.414247,110905.703125,335.08255
6117.457395,111322.195312,335.775574
6117.500542,112144.101562,337.011261
6117.543689,112182.414062,336.984924
6117.586836,112226.882812,337.168457
6117.629984,112239.257812,337.177551
6117.673131,111928.570312,336.684326
6117.716278,111804.632812,336.528809
6117.759426,112288.507812,337.312775
6117.802573,112484.039062,337.524292
6117.84572,112364.117188,337.231506
6117.888867,112268.734375,337.209167
6117.932015,112820.132812,337.942322
6117.975162,112884.765625,338.089478
6118.018309,112459.921875,337.506134
6118.061456,112344.984375,337.261383
6118.104604,112315.960938,337.307953
6118.147751,112501.71875,337.580353
6118.190898,111840.796875,336.520325
6118.234045,111731.96875,336.233063
6118.277193,111669.976562,336.35675
6118.32034,111730.09375,336.330841
6118.363487,112737.234375,337.892059
6118.406634,113249.382812,338.621338
6118.449782,113051.226562,338.300537
6118.492929,113087.140625,338.290344
6118.536076,112803.34375,337.877533
6118.579223,113185.484375,338.485565
6118.622371,112951.90625,338.376251
6118.665518,113871.171875,339.592346
6118.708665,113365.6875,338.820923
6118.751812,113790.65625,339.388763
6118.79496,113823.320312,339.544342
6118.838107,113807.9375,339.451538
6118.881254,113964.8125,339.654968
6118.924402,114105.640625,339.89682
6118.967549,113987.507812,339.701569
6119.010696,113744.546875,339.248322
6119.053843,113986.398438,339.709503
6119.096991,113366.875,338.805298
6119.140138,114325.007812,340.378326
6119.183285,113868.09375,339.504486
6119.226432,113945.953125,339.761536
6119.26958,113732.453125,339.376556
6119.312727,113524.070312,339.043854
6119.355874,113301.0625,338.746002
6119.399021,114462.007812,340.410126
6119.442169,113399.632812,338.821564
6119.485316,113212.742188,338.478516
6119.528463,113265.90625,338.559448
6119.57161,112241.304688,337.186401
6119.614758,110462.179688,334.571472
6119.657905,108938.101562,332.238342
6119.701052,108141.632812,331.088928
6119.744199,108787.554688,331.928101
6119.787347,109383.609375,332.821747
6119.830494,109808.242188,333.625854
6119.873641,110325.835938,334.297791
6119.916788,109246.171875,332.660614
6119.959936,110425.289062,334.482269
6120.003083,110659.382812,334.807953
6120.04623,112500.554688,337.635803
6120.089378,114101.359375,339.970245
6120.132525,114698.179688,340.807129
6120.175672,114834.703125,340.899933
6120.218819,115572.304688,342.097778
6120.261967,113722.320312,339.392761
6120.305114,114117.914062,339.898499
6120.348261,114065.359375,339.893158
6120.391408,113424.742188,338.723328
6120.434556,112754.117188,338.077911
6120.477703,113372.421875,338.770203
6120.52085,113528.210938,339.201263
6120.563997,113426.585938,338.835358
6120.607145,114509.75,340.509827
6120.650292,114522.664062,340.51001
6120.693439,115364.414062,341.772003
6120.736586,114342.601562,340.37265
6120.779734,114794.453125,340.945801
6120.822881,115220.898438,341.521576
6120.866028,114620.484375,340.85199
6120.909175,114308.109375,340.222931
6120.952323,114065.039062,339.951538
6120.99547,113634.984375,339.365509
6121.038617,114044.03125,339.853424
6121.081764,114090.757812,339.935333
6121.124912,113179.929688,338.40097
6121.168059,112863.46875,338.115753
6121.211206,113645.6875,339.247467
6121.254354,114515.984375,340.550995
6121.297501,114873.445312,340.992859
6121.340648,115393.875,341.6922
6121.383795,115490.390625,341.996155
6121.426943,115101.117188,341.323364
6121.47009,114878.984375,340.907318
6121.513237,114756.21875,340.913605
6121.556384,115178.367188,341.568542
6121.599532,114978.28125,341.187378
6121.642679,115125.21875,341.293793
6121.685826,115029.976562,341.180206
6121.728973,114084.320312,339.895844
6121.772121,114386.734375,340.431488
6121.815268,114389.570312,340.4086
6121.858415,115062.78125,341.217804
6121.901562,114646.914062,340.677155
6121.94471,113714.898438,339.385956
6121.987857,113764.015625,339.391418
6122.031004,112324.460938,337.140198
6122.074151,111617.484375,336.330566
6122.117299,109256.875,332.791565
6122.160446,106036.164062,327.875427
6122.203593,99216.382812,317.367462
6122.24674,89032.882812,300.836639
6122.289888,74008.679688,274.770935
6122.333035,59007.199219,246.213867
6122.376182,49891.546875,227.07106
6122.41933,51254.007812,230.081848
6122.462477,62386.207031,252.992188
6122.505624,78327.476562,282.595703
6122.548771,92295.625,306.220001
6122.591919,101340.5625,320.69519
6122.635066,106952.171875,329.216736
6122.678213,111074.820312,335.452148
6122.72136,111186.507812,335.696014
6122.764508,112298.28125,337.209747
6122.807655,112439.4375,337.424561
6122.850802,113903.382812,339.807861
6122.893949,114139.546875,339.912109
6122.937097,114933.203125,341.216156
6122.980244,115375.734375,341.667206
6123.023391,115138.304688,341.49173
6123.066538,115172.414062,341.47934
6123.109686,116115.804688,343.055115
6123.152833,115420.375,341.786682
6123.19598,115790.445312,342.49823
6123.239127,115677.601562,342.363068
6123.282275,115223.796875,341.43277
6123.325422,114932.273438,341.189362
6123.368569,115025.953125,341.390686
6123.411716,115394.484375,341.92868
6123.454864,115338.398438,341.884766
6123.498011,115719.53125,342.259216
6123.541158,114920.757812,341.194183
6123.584306,114828.664062,341.167267
6123.627453,114956.117188,341.242798
6123.6706,114966.398438,341.249786
6123.713747,114911.726562,341.079346
6123.756895,115414.390625,341.734558
6123.800042,116137.71875,342.960938
6123.843189,116410.742188,343.37912
6123.886336,116528.5625,343.556793
6123.929484,116388.78125,343.265472
6123.972631,116936.914062,343.972839
6124.015778,117190.164062,344.434845
6124.058925,117311.335938,344.728638
6124.102073,117437.375,344.858643
6124.14522,116767.75,343.933624
6124.188367,117063.921875,344.375
6124.231514,117101.867188,344.303894
6124.274662,117281.625,344.544128
6124.317809,117569.445312,345.019684
6124.360956,117376.421875,344.887787
6124.404103,118001.203125,345.567657
6124.447251,117102.5,344.362305
6124.490398,117298.664062,344.657166
6124.533545,117931.429688,345.550049
6124.576692,117607.046875,345.196869
6124.61984,117790.84375,345.445068
6124.662987,118149.101562,345.804016
6124.706134,117675.398438,345.214111
6124.749282,117662.335938,345.170074
6124.792429,117972.132812,345.448975
6124.835576,117650.773438,345.06958
6124.878723,117497.976562,344.837769
6124.921871,117325.992188,344.774506
6124.965018,116445.570312,343.478668
6125.008165,115539.351562,342.094147
6125.051312,112748.773438,337.86438
6125.09446,108335.40625,331.461853
6125.137607,105366.359375,326.908569
6125.180754,103287.703125,323.709961
6125.223901,103963.3125,324.850006
6125.267049,108017.367188,330.957245
6125.310196,111386.578125,336.097565
6125.353343,113863.070312,339.684723
6125.39649,117053.09375,344.261566
6125.439638,117224.375,344.643066
6125.482785,117732.3125,345.155365
6125.525932,117892.445312,345.657043
6125.569079,118077.3125,345.72995
6125.612227,118491.257812,346.360168
6125.655374,118954.320312,346.982269
6125.698521,118268.507812,346.047028
6125.741668,119001.921875,347.085358
6125.784816,118626.789062,346.508392
6125.827963,119874.367188,348.302002
6125.87111,118952.242188,346.96167
6125.914258,118850.039062,347.057983
6125.957405,118983.484375,347.066864
6126.000552,119144.09375,347.372223
6126.043699,119099.539062,347.3815
6126.086847,119176.648438,347.398438
6126.129994,119358.929688,347.515472
6126.173141,118755.023438,346.641632
6126.216288,117634.609375,345.255035
6126.259436,116405.1875,343.260681
6126.302583,115186.054688,341.588165
6126.34573,112647.9375,337.888153
6126.388877,112398.539062,337.483337
6126.432025,112949.664062,338.355316
6126.475172,114380.453125,340.374908
6126.518319,117061.71875,344.349823
6126.561466,117993.539062,345.67392
6126.604614,118809.59375,346.971466
6126.647761,119288.65625,347.607513
6126.690908,119362.828125,347.504211
6126.734055,119270.609375,347.554321
6126.777203,119914.195312,348.283508
6126.82035,120173.523438,348.601715
6126.863497,119600.015625,347.927734
6126.906644,119397.992188,347.586823
6126.949792,119557.476562,347.902435
6126.992939,119992.320312,348.491272
6127.036086,119936.898438,348.44281
6127.079234,120334.835938,349.0224
6127.122381,119719.085938,348.076111
6127.165528,119054.039062,347.125153
6127.208675,119499.289062,347.802216
6127.251823,119269.015625,347.374451
6127.29497,119614.960938,348.009155
6127.338117,120220.789062,348.913147
6127.381264,119635.492188,348.10083
6127.424412,120027.5625,348.736572
6127.467559,119955.460938,348.46463
6127.510706,119486.179688,347.807068
6127.553853,119126.046875,347.262665
6127.597001,119482.828125,347.754028
6127.640148,119731.828125,348.121704
6127.683295,119462.796875,347.667358
6127.726442,120030.554688,348.465576
6127.76959,120509.445312,349.35675
6127.812737,119800.148438,348.199219
6127.855884,119700.289062,348.247162
6127.899031,117480.976562,345.015533
6127.942179,113204.539062,338.621307
6127.985326,107443.140625,330.013458
6128.028473,101108.390625,320.372833
6128.07162,96398.65625,312.953949
6128.114768,98619.703125,316.6185
6128.157915,104131.9375,324.958099
6128.201062,111001.539062,335.60849
6128.24421,115195.90625,341.639221
6128.287357,117460.882812,344.921356
6128.330504,117848.40625,345.43811
6128.373651,119043.195312,347.181488
6128.416799,120109.617188,348.611969
6128.459946,120629.664062,349.496674
6128.503093,120519.625,349.261627
6128.54624,119942.429688,348.609589
6128.589388,120255.617188,348.915863
6128.632535,120671.914062,349.480011
6128.675682,120034.21875,348.596252
6128.718829,120658.429688,349.469269
6128.761977,121106.148438,350.196136
6128.805124,120886.195312,349.919464
6128.848271,121464.804688,350.585754
6128.891418,119527.546875,347.850769
6128.934566,120830.125,349.681366
6128.977713,119201.265625,347.420013
6129.02086,117974.882812,345.701019
6129.064007,114450.914062,340.593933
6129.107155,112338.671875,337.356659
6129.150302,111817.382812,336.754456
6129.193449,112783.632812,338.202637
6129.236596,114911.015625,341.319153
6129.279744,116931.125,344.022278
6129.322891,118004.335938,345.691833
6129.366038,119148.195312,347.36087
6129.409185,118330.757812,346.171326
6129.452333,119282.820312,347.595825
6129.49548,119730.539062,348.339508
6129.538627,120029.421875,348.717682
6129.581775,120230.992188,348.864777
6129.624922,119402.679688,347.718506
6129.668069,118187.179688,346.047424
6129.711216,118307.835938,346.032867
6129.754364,117690.234375,345.129486
6129.797511,117761.554688,345.317474
6129.840658,117283.1875,344.705566
6129.883805,117448.117188,344.954712
6129.926953,118845.585938,346.817871
6129.9701,119907.195312,348.505371
6130.013247,120638.382812,349.315308
6130.056394,120830.476562,349.703461
6130.099542,121120.03125,350.225983
6130.142689,119359.226562,347.529205
6130.185836,117757.640625,345.34021
6130.228983,115160.195312,341.556702
6130.272131,112077.671875,337.031921
6130.315278,111102.53125,335.789917
6130.358425,113384.234375,338.936096
6130.401572,115758.953125,342.411377
6130.44472,118484.382812,346.404877
6130.487867,119656.9375,347.894653
6130.531014,120760.0,349.725128
6130.574161,121793.039062,351.202667
6130.617309,121473.875,350.666656
6130.660456,121854.078125,351.346344
6130.703603,122038.289062,351.514679
6130.746751,121545.390625,350.715271
6130.789898,121396.765625,350.450653
6130.833045,121590.195312,350.826752
6130.876192,121506.179688,350.74646
6130.91934,121439.570312,350.672638
6130.962487,121461.6875,350.697845
6131.005634,121577.132812,350.811401
6131.048781,121428.78125,350.670471
6131.091929,121458.296875,350.585968
6131.135076,121213.101562,350.242493
6131.178223,121316.523438,350.521057
6131.22137,121167.234375,350.182556
6131.264518,121760.523438,351.054474
6131.307665,121037.023438,350.036285
6131.350812,119993.007812,348.549957
6131.393959,120186.234375,348.868469
6131.437107,119116.789062,347.250214
6131.480254,118819.523438,346.79837
6131.523401,119433.5625,347.744598
6131.566548,119157.703125,347.360992
6131.609696,116825.882812,343.931335
6131.652843,114946.671875,341.252045
6131.69599,111983.09375,336.794617
6131.739137,109880.03125,333.772583
6131.782285,110314.8125,334.481415
6131.825432,112425.726562,337.532532
6131.868579,114037.546875,339.778687
6131.911727,114392.132812,340.412079
6131.954874,111915.375,336.841095
6131.998021,109409.765625,333.067688
6132.041168,109622.109375,333.500732
6132.084316,111439.617188,336.094635
6132.127463,114658.289062,340.894867
6132.17061,117194.03125,344.532349
6132.213757,119899.09375,348.477356
6132.256905,120505.367188,349.23111
6132.300052,120627.875,349.340485
6132.343199,121395.304688,350.557922
6132.386346,121287.335938,350.491486
6132.429494,121223.921875,350.354065
6132.472641,121112.929688,350.117432
6132.515788,121278.195312,350.247498
6132.558935,120639.460938,349.529114
6132.602083,120554.523438,349.52359
6132.64523,121989.90625,351.53598
6132.688377,122409.710938,351.992096
6132.731524,121503.84375,350.815216
6132.774672,121606.554688,350.675415
6132.817819,122304.789062,351.789307
6132.860966,121714.039062,351.029022
6132.904113,122490.953125,352.089142
6132.947261,121671.65625,350.913513
6132.990408,121216.921875,350.138885
6133.033555,121515.695312,350.656219
6133.076703,122677.734375,352.290771
6133.11985,122269.203125,351.757874
6133.162997,122123.039062,351.454132
6133.206144,121415.445312,350.614899
6133.249292,121212.5625,350.29071
6133.292439,121487.585938,350.743042
6133.335586,120999.546875,350.068909
6133.378733,120202.054688,348.863312
6133.421881,120134.734375,348.747681
6133.465028,120715.953125,349.553864
6133.508175,121089.796875,350.152222
6133.551322,121947.71875,351.344299
6133.59447,121992.601562,351.472717
6133.637617,121767.140625,351.123016
6133.680764,121704.726562,350.944397
6133.723911,122440.21875,351.899384
6133.767059,122258.71875,351.765564
6133.810206,121700.101562,350.907135
6133.853353,121499.023438,350.716949
6133.8965,122362.710938,351.96109
6133.939648,121924.695312,351.279236
6133.982795,122702.609375,352.476318
6134.025942,120783.664062,349.807098
6134.069089,121036.054688,350.014069
6134.112237,119633.4375,348.166321
6134.155384,119711.65625,348.120331
6134.198531,120966.632812,349.83606
6134.241679,121735.226562,351.120758
6134.284826,121888.859375,351.299805
6134.327973,122366.726562,351.975372
6134.37112,122627.53125,352.264862
6134.414268,123126.210938,353.141724
6134.457415,122364.054688,351.916443
6134.500562,122139.71875,351.655975
6134.543709,122806.617188,352.542206
6134.586857,122827.390625,352.713989
6134.630004,121986.671875,351.510986
6134.673151,122607.820312,352.377777
6134.716298,122272.679688,351.809967
6134.759446,120765.335938,349.628632
6134.802593,121434.984375,350.643127
6134.84574,121325.898438,350.583893
6134.888887,122142.101562,351.524811
6134.932035,121368.570312,350.483917
6134.975182,122134.960938,351.660889
6135.018329,122463.34375,352.192902
6135.061476,122710.664062,352.3526
6135.104624,122352.5625,351.93396
6135.147771,122325.382812,351.940247
6135.190918,122368.773438,351.896423
6135.234065,122443.203125,352.046265
6135.277213,121853.273438,351.240784
6135.32036,122286.671875,351.907928
6135.363507,120671.882812,349.759705
6135.406655,121434.9375,350.528595
6135.449802,119984.398438,348.389252
6135.492949,119746.507812,348.21637
6135.536096,119007.382812,347.177856
